
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.45348237850203      eV
 Composition: x =   0.12500000000292860     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  7     17      192           -66311.97941      -61058.80503    0.995494E-04    0.518486E-06
  7     18      192           -66311.97931      -61058.80493    0.991536E-04    0.516425E-06
  7     19       96           -66311.98554      -61058.81117    0.631062E-04    0.657356E-06
  7     20       96           -66311.97225      -61058.79788    0.377422E-04    0.393148E-06
  7     21      192           -66311.93300      -61058.75862    0.165349E-04    0.861194E-07
  7     22      192           -66311.95195      -61058.77757    0.344137E-04    0.179238E-06
  7     23       96           -66311.91308      -61058.73870    0.382603E-05    0.398545E-07
  7     24       96           -66311.92432      -61058.74994    0.591001E-05    0.615626E-07
  7     25      192           -66311.93376      -61058.75939    0.170322E-04    0.887093E-07
  7     26      192           -66311.94964      -61058.77526    0.314696E-04    0.163904E-06
  7     27      192           -66311.95674      -61058.78236    0.414222E-04    0.215741E-06
  7     28      192           -66311.94869      -61058.77432    0.303412E-04    0.158027E-06
  7     29       96           -66311.96376      -61058.78939    0.271759E-04    0.283083E-06
  7     30      192           -66311.92504      -61058.75066    0.121529E-04    0.632964E-07
  7     31       96           -66311.92608      -61058.75170    0.632516E-05    0.658870E-07
  7     32      192           -66311.94219      -61058.76782    0.235969E-04    0.122900E-06
  7     33      192           -66311.95534      -61058.78096    0.392387E-04    0.204368E-06
  7     34      192           -66311.93241      -61058.75803    0.161618E-04    0.841763E-07
  7     35      192           -66311.94584      -61058.77146    0.271720E-04    0.141521E-06
  7     36      192           -66311.96232      -61058.78794    0.513932E-04    0.267673E-06
